Submission Date,Your Submission Identifier,NCAA Division,OPTIONAL: Position Title,Up 3 Fouling Input,Up 3:   a,Up 3:  b,Up 3:   c,Up 3:   d,Down 3:   a,Down 3:   b,Down 3:   c,Down 3:   d,Down 2:   a,Down 2:   b,Down 2:   c,Down 2:   d,Down 1:   a,Down 1:   b,Down 1:   c,Down 1:   d
"Sep 12, 2022","We*0xdpCKT$l0i_1p.'g3""v}Q.p_y//a",1,Assistant Coach,6.0,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Sep 10, 2022",D_x^WGm{4~[bA1G!3##*LeQqzCiV{)}%,1,Graduate Assistant,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Sep 2, 2022","?u6z]St>4zFcIH,l(@A?`JkYQ_x{%RHL",1,Assistant Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[45,30]","[30,30]","[45,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 31, 2022",v'cF;^9>o2a6>3h=Rc9#Rp8H'TwpgU((,1,Assistant Coach,between 8-4,"[4,0]","[4,4]","[8,8]","[8,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 30, 2022",?YH'1Lyv>V<#k({>>#9{KhPihu?8qr#?,1,Video Coordinator,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[45,30]","[30,30]","[15,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]"
"Aug 30, 2022","h?2u""]#aQ7NudnIQA(1A1`}0!ob9Ly}O",1,Director of Basketball Operations,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]"
"Aug 29, 2022","q/0=vSj*OX3^~;[Sw0Pg8ga{~APd""J3H",1,,under 5 sec,"[0,0]","[5,5]","[0,0]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",1an*J5'kj1(GQ<.]*JJ-8Fvj@?E!9::J,1,Head Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022","v4;g2nY'>C5Vz'WPXl""5j<|=L{@43>(k",1,Video Coordinator,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",Wi`'8i9JDR@Dgd.2.55yb$WMsI)#FsLw,1,,Under 8 sec,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",1NmUlct{BbVVxW3^JR4k.CDoV/4JO]C/,1,Special Assistant to the HC & Recruiting Coordinator,5,"[0,0]","[5,5]","[0,0]","[5,0]","[0,0]","[22,22]","[0,0]","[22,0]","[0,0]","[17,17]","[0,0]","[17,0]","[0,0]","[12,12]","[0,0]","[12,0]"
"Aug 29, 2022","L.dnB;""i""x/HjhHEA]n>>JF9nW2u!n's",1,Director of Basketball Operations,8-10,"[8,0]","[8,8]","[10,10]","[10,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[25,30]","[30,30]","[25,0]"
"Aug 29, 2022",";n2u$""5IerI(X3@GrzRD-""}~<0ijm?bB",1,DOBO,12,"[0,0]","[12,12]","[0,0]","[12,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",r$/Cp_9C8`i/7$W@D(2.FeoLCH1Q5`$c,1,Associate Head Coach,3-7,"[3,0]","[3,3]","[7,7]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 28, 2022",Zn*Dlu43}|ER{bmxE2FgA-]L>jGs)BWD,1,Head Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 28, 2022","hb%0&lt;""XNe}y8(FhEZ7j47$G#i%dkRa=,",1,Associate Head Coach,Ideally under 5,"[0,0]","[5,5]","[0,0]","[5,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 28, 2022",Ydgv^OB`5_E0>Z;j4*zPl(Wowx?Aa#Bw,1,Head Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 28, 2022",Gs;.vB*^_Tiu|'?I/iO1YnJ8d*NxVg>H,1,Director of Basketball Operations,20,"[0,0]","[20,20]","[0,0]","[20,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 27, 2022",UR6y@r)g{6h?|4)UW5M@!SbOy9Eio'iz,1,Assistant Coach,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 27, 2022",|ilQ^($Qc(*%.|}VE*Q^m.<MPcTOSld8,1,,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 27, 2022",3}0|Vg1&4|-ws%7L&P>w^S-)GA_l_9Ml,1,Assistant Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 26, 2022",uoz]RIRP5WC@FD0xfNh4RM{JG|}O3UKN,1,Director of Operations,7,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[20,20]","[0,0]","[20,0]"
"Aug 25, 2022","U68h3w/Z}|p;V$XD(@O4G'iCSlb(yg',",1,DOBO,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[42,30]","[30,30]","[42,0]"
"Aug 25, 2022",#31=/OI/76zm~E&6)il4^B=r8r)h'dq!,1,Graduate Asisstant,19-15seconds. When other team is dribbling and not going into a shot.,"[15,0]","[15,15]","[19,19]","[19,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 24, 2022","1|*`BRYd~tZ4ty""]kYY]ctug7]b>.4k*",1,Associate head coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 24, 2022","syuc6pOu@JzV""j}zJ'_x7mM:IN<RR3Z4",1,Player Development,10,"[0,0]","[10,10]","[0,0]","[10,0]","[0,0]","[30,30]","[0,0]","[30,0]","[15,15]","[30,30]","[15,15]","[30,15]","[0,0]","[10,10]","[20,10]","[20,0]"
"Aug 24, 2022",G^@{%2%`8Pde!259c/%qN|A5cdR!Wkrl,1,,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 24, 2022","Td_^`b|OW!r=38B|9N8Tjb_`?N,X7By$",1,Assistant Coach,5-8,"[5,0]","[5,5]","[8,8]","[8,0]","[0,0]","[60,30]","[30,30]","[60,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 23, 2022",9p)BKT&_!vu1XZNA9TR6i&N28T6~).=5,1,,8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[50,30]","[30,30]","[20,0]","[0,0]","[45,30]","[30,30]","[20,0]","[0,0]","[40,30]","[30,30]","[10,0]"
"Aug 23, 2022","zQf(s0d3$)4h*HaU(Ux)j,{aV9p{St{f",1,Assistant coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 23, 2022",C1#N2ezNu@%dY8c/RsQ#i>0>S?byHH6Z,1,Graduate Assistant,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 23, 2022",H=Y`NR;`=oztu`#~a}bI9yhG$BjDt|/P,1,Assistant Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022",",>_e9dOkuRbIehEgd=3sp?z{|1kI!cfs",1,Assistant coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022","!q?"".%8N#:[,swE&g4kP|uVb/dsqP.5c",1,,0,"[0,0]","[0,0]","[0,0]","[0,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022","(!U]_!1.X$!CV~^Eh0N-Ewev`""b-d(3q",1,Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022","M<Mo(VHvugkq&1:w%,,RHOasqA?tqV$3",1,Associate Head Coach,8 seconds ideally,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 22, 2022",I~W|t&05@S|QeL2**FByKji?]6XyyoxB,1,Assistant Coach,9,"[0,0]","[9,9]","[0,0]","[9,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022","o,z`~TV01t[''(y&z80:B{UhwMV9|""sr",1,Assistant coaxh,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 22, 2022",5bLQLp{nry@`(Q97}#o&(UBenQm9HX0N,1,Associate Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[45,30]","[30,30]","[45,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 21, 2022","$o,23PB""N(y)=1<EE28}:YEegs8:`KfM",1,Assistant Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[0,0]","[60,30]","[30,30]","[60,0]","[0,0]","[45,30]","[30,30]","[45,0]","[0,0]","[45,30]","[30,30]","[45,0]"
"Aug 21, 2022","ELy""t39x~my<owyB$q1F|YljDttvJD=I",1,Video Coordinator,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 21, 2022","E,$wO/FD)1Dpm-=llR!8E%cMu22|JUGW",1,DOBO,3 or 4,"[0,0]","[4,4]","[0,0]","[4,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 21, 2022","/&Yky|r>=|$|2.,~-aa%xsW:;U[1F!Pj",1,Assistant Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 21, 2022",@ZE[%?Vs:83wSu_Diq3!V!V79cd|[t5v,1,Assistant coach,Under 10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 24, 2022",#Y9dr0c3rZo~jZP}p!-47FFqK$0'r*eX,2,head coach,12,"[0,0]","[12,12]","[0,0]","[12,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 20, 2022","D,vL!2@;fq/b${*5c[G]5)F-IaCD%Mfp",2,Assistant Coach,20,"[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[37,30]","[30,30]","[37,0]","[0,0]","[37,30]","[30,30]","[37,0]","[0,0]","[37,30]","[30,30]","[37,0]"
"Aug 20, 2022",">8,||V{P95?_MiPA0usu%)Dbr5"":xHpe",2,Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[37,30]","[30,30]","[7,0]","[0,0]","[37,30]","[30,30]","[7,0]","[20,20]","[30,30]","[30,30]","[30,20]"
"Aug 19, 2022",JO@&|F{y3S_w#{8{jjqV57F2<t!Lup?b,2,Head Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 19, 2022","qS5j?Mn3p6t.X8XO[`1`7fyV2P!{9b',",2,Student Manager,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[15,15]","[0,0]","[15,0]","[0,0]","[10,10]","[0,0]","[10,0]"
"Aug 19, 2022",t?&29Uy'v3LdCv-1=DXibzN}-<[:HAk$,2,AD,:,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[15,15]","[0,0]","[15,0]","[0,0]","[15,15]","[0,0]","[15,0]","[0,0]","[15,15]","[0,0]","[15,0]"
"Aug 19, 2022",IefwNa!SaZ3`9%*^yS!}SoxjfGH;A$R<,2,Head Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[35,30]","[30,30]","[5,0]"
"Aug 19, 2022","2yz}9u<f_L?:*dpj1""MEju&B0}MgU'Dy",2,,7 secs.,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[45,30]","[30,30]","[15,0]","[0,0]","[45,30]","[30,30]","[15,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
